Rank,Artist,Song,Year
6,Shelley Fabares,Johnny Angel,1962
7,Little Eva,The Loco-Motion,1962
8,Sensations,Let Me In,1962
9,Chubby Checker,The Twist,1962
10,Shirelles,Soldier Boy,1962
1,Jimmy Gilmer and The Fireballs,Sugar Shack,1963
2,Beach Boys,Surfin’ U.S.A.,1963
3,Skeeter Davis,The End Of The World,1963
4,Cascades,Rhythm Of The Rain,1963
5,Chiffons,He’s So Fine,1963
6,Bobby Vinton,Blue Velvet,1963
7,Paul and Paula,Hey Paula,1963
8,Little Stevie Wonder,Fingertips II,1963
9,Village Stompers,Washington Square,1963
10,Impressions,It’s All Right,1963
1,Beatles,I Want To Hold Your Hand,1964
2,Beatles,She Loves You,1964
3,Louis Armstrong,"Hello, Dolly!",1964
4,Roy Orbison,"Oh, Pretty Woman",1964
5,Beach Boys,I Get Around,1964
6,Dean Martin,Everybody Loves Somebody,1964
7,Mary Wells,My Guy,1964
8,Gale Garnett,We’ll Sing In The Sunshine,1964
9,J. Frank Wilson and The Cavaliers,Last Kiss,1964
10,Supremes,Where Did Our Love Go,1964
1,Sam The Sham and The Pharaohs,Wooly Bully,1965
2,Four Tops,I Can’t Help Myself (Sugar Pie Honey Bunch),1965
3,Rolling Stones,(I Can’t Get No) Satisfaction,1965
4,We Five,You Were On My Mind,1965
5,Righteous Brothers,You’ve Lost That Lovin’ Feelin’,1965
6,Petula Clark,Downtown,1965
7,Beatles,Help!,1965
8,Herman’s Hermits,Can’t You Hear My Heartbeat,1965
9,Elvis Presley,Crying In The Chapel,1965
10,Temptations,My Girl,1965
1,Sgt. Barry Sadler,The Ballad Of The Green Berets,1966
2,Association,Cherish,1966
3,Righteous Brothers,(You’re My) Soul And Inspiration,1966
4,Four Tops,Reach Out I’ll Be There,1966
5,? and The Mysterians,96 Tears,1966
6,Monkees,Last Train To Clarksville,1966
7,Mama’s and The Papa’s,"Monday, Monday",1966
8,Supremes,You Can’t Hurry Love,1966
9,Johnny Rivers,Poor Side Of Town,1966
10,Mama’s and The Papa’s,California Dreamin’,1966
1,Lulu,To Sir With Love,1967
2,Box Tops,The Letter,1967
3,Bobby Gentry,Ode To Billie Joe,1967
4,Association,Windy,1967
5,Monkees,I’m A Believer,1967
6,Doors,Light My Fire,1967
7,Nancy Sinatra and Frank Sinatra,Somethin’ Stupid,1967
8,Turtles,Happy Together,1967
9,Young Rascals,Groovin’,1967
10,Frankie Valli,Can’t Take My Eyes Off You,1967
1,Beatles,Hey Jude,1968
2,Paul Mauriat,Love Is Blue,1968
3,Bobby Goldsboro,Honey,1968
4,Otis Redding,(Sittin’ On) The Dock Of The Bay,1968
5,Rascals,People Got To Be Free,1968
6,Cream,Sunshine Of Your Love,1968
7,Herb Alpert,This Guy’s In Love With You,1968
8,Hugo Montenegro,"The Good, The Bad And The Ugly",1968
9,Simon and Garfunkel,Mrs. Robinson,1968
10,Archie Bell and The Drells,Tighten Up,1968
1,Archies,"Sugar, Sugar",1969
2,Fifth Dimension,Aquarius / Let The Sunshine In,1969
3,Temptations,I Can’t Get Next To You,1969
4,Rolling Stones,Honky Tonk Women,1969
5,Sly and The Family Stone,Everyday People,1969
6,Tommy Roe,Dizzy,1969
7,Sly and The Family Stone,Hot Fun In The Summertime,1969
8,Tom Jones,I’ll Never Fall In Love Again,1969
9,Foundations,Build Me Up Buttercup,1969
10,Tommy James and The Shondells,Crimson And Clover,1969
1,Simon and Garfunkel,Bridge Over Troubled Water,1970
2,Carpenters,(They Long To Be) Close To You,1970
3,Guess Who,American Woman / No Sugar Tonight,1970
4,B.J. Thomas,Raindrops Keep Fallin’ On My Head,1970
5,Edwin Starr,War,1970
6,Diana Ross,Ain’t No Mountain High Enough,1970
7,Jackson 5,I’ll Be There,1970
8,Rare Earth,Get Ready,1970
9,Beatles,Let It Be,1970
10,Freda Payne,Band Of Gold,1970
1,Three Dog Night,Joy To The World,1971
2,Rod Stewart,Maggie May / (Find A) Reason To Believe,1971
3,Carole King,It’s Too Late / I Feel The Earth Move,1971
4,Osmonds,One Bad Apple,1971
5,Bee Gees,How Can You Mend A Broken Heart,1971
6,Raiders,Indian Reservation,1971
7,Donny Osmond,Go Away Little Girl,1971
8,John Denver,"Take Me Home, Country Roads",1971
9,Temptations,Just My Imagination (Running Away With Me),1971
10,Dawn,Knock Three Times,1971
1,Roberta Flack,The First Time Ever I Saw Your Face,1972
2,Gilbert O’Sullivan,Alone Again (Naturally),1972
3,Don McLean,American Pie,1972
4,Nilsson,Without You,1972
5,Sammy Davis Jr.,Candy Man,1972
6,Joe Tex,I Gotcha,1972
7,Bill Withers,Lean On Me,1972
8,Mac Davis,Baby Don’t Get Hooked On Me,1972
9,Melanie,Brand New Key,1972
10,Wayne Newton,Daddy Dont You Walk So Fast,1972
1,Tony Orlando and Dawn,Tie A Yellow Ribbon ‘Round The Ole Oak Tree,1973
2,Jim Croce,Bad Bad Leroy Brown,1973
3,Roberta Flack,Killing Me Softly With His Song,1973
4,Marvin Gaye,Let’s Get It On,1973
5,Paul McCartney and Wings,My Love,1973
6,Kris Kristofferson,Why Me,1973
7,Elton John,Crocodile Rock,1973
8,Billy Preston,Will It Go Round In Circles,1973
9,Carly Simon,You’re So Vain,1973
10,Diana Ross,Touch Me In The Morning,1973
1,Barbra Streisand,The Way We Were,1974
2,Terry Jacks,Seasons In The Sun,1974
3,Love Unlimited Orchestra,Love’s Theme,1974
4,Redbone,Come And Get Your Love,1974
5,Jackson 5,Dancing Machine,1974
6,Grand Funk Railroad,The Loco-Motion,1974
7,MFSB,TSOP,1974
8,Ray Stevens,The Streak,1974
9,Elton John,Bennie And The Jets,1974
10,Mac Davis,One Hell Of A Woman,1974
1,Captain and Tennille,Love Will Keep Us Together,1975
2,Glen Campbell,Rhinestone Cowboy,1975
3,Elton John,Philadelphia Freedom,1975
4,Freddy Fender,Before The Next Teardrop Falls,1975
5,Frankie Valli,My Eyes Adored You,1975
6,"Earth, Wind and Fire",Shining Star,1975
7,David Bowie,Fame,1975
8,Neil Sedaka,Laughter In The Rain,1975
9,Eagles,One Of These Nights,1975
10,John Denver,Thank God I’m A Country Boy,1975
1,Wings,Silly Love Songs,1976
2,Elton John and Kiki Dee,Don’t Go Breaking My Heart,1976
3,Johnnie Taylor,Disco Lady,1976
4,Four Seasons,"December, 1963 (Oh, What A Night)",1976
5,Wild Cherry,Play That Funky Music,1976
6,Manhattans,Kiss And Say Goodbye,1976
7,The Miracles,Love Machine (Part 1),1976
8,Paul Simon,50 Ways To Leave Your Lover,1976
9,Gary Wright,Love Is Alive,1976
10,Walter Murphy and The Big Apple Band,A Fifth Of Beethoven,1976
1,Rod Stewart,Tonight’s The Night (Gonna Be Alright),1977
2,Andy Gibb,I Just Want To Be Your Everything,1977
3,Emotions,Best Of My Love,1977
4,Barbra Streisand,Love Theme From “A Star Is Born”,1977
5,Hot,Angel In Your Arms,1977
6,Kenny Nolan,I Like Dreamin’,1977
7,Thelma Houston,Don’t Leave Me This Way,1977
8,Rita Coolidge,(Your Love Has Lifted Me) Higher And Higher,1977
9,Alan O’Day,Undercover Angel,1977
10,Mary MacGregor,Torn Between Two Lovers,1977
1,Andy Gibb,Shadow Dancing,1978
2,Bee Gees,Night Fever,1978
3,Debby Boone,You Light Up My Life,1978
4,Bee Gees,Stayin’ Alive,1978
5,Exile,Kiss You All Over,1978
6,Bee Gees,How Deep Is Your Love,1978
7,Player,Baby Come Back,1978
8,Andy Gibb,(Love Is) Thicker Than Water,1978
9,A Taste Of Honey,Boogie Oogie Oogie,1978
10,Commodores,Three Times A Lady,1978
1,Knack,My Sharona,1979
2,Donna Summer,Bad Girls,1979
3,Chic,Le Freak,1979
4,Rod Stewart,Da Ya Think I’m Sexy,1979
5,Peaches and Herb,Reunited,1979
6,Gloria Gaynor,I Will Survive,1979
7,Donna Summer,Hot Stuff,1979
8,Village People,Y.M.C.A.,1979
9,Anita Ward,Ring My Bell,1979
10,Robert John,Sad Eyes,1979
1,Blondie,Call Me,1980
2,Pink Floyd,Another Brick In The Wall,1980
3,Olivia Newton-John,Magic,1980
4,Michael Jackson,Rock With You,1980
5,Captain and Tennille,Do That To Me One More Time,1980
6,Queen,Crazy Little Thing Called Love,1980
7,Paul McCartney,Coming Up,1980
8,"Lipps, Inc.",Funkytown,1980
9,Billy Joel,It’s Still Rock And Roll To Me,1980
10,Bette Midler,The Rose,1980
1,Kim Carnes,Bette Davis Eyes,1981
2,Diana Ross and Lionel Richie,Endless Love,1981
3,Kenny Rogers,Lady,1981
4,John Lennon,(Just Like) Starting Over,1981
5,Rick Springfield,Jessie’s Girl,1981
6,Kool and The Gang,Celebration,1981
7,Daryl Hall and John Oates,Kiss On My List,1981
8,Eddie Rabbitt,I Love A Rainy Night,1981
9,Dolly Parton,9 To 5,1981
10,REO Speedwagon,Keep On Loving You,1981
1,Olivia Newton-John,Physical,1982
2,Survivor,Eye Of The Tiger,1982
3,Joan Jett and The Blackhearts,I Love Rock N’ Roll,1982
4,Paul McCartney and Stevie Wonder,Ebony And Ivory,1982
5,J. Geils Band,Centerfold,1982
6,Human League,Don’t You Want Me,1982
7,John Cougar,Jack And Diane,1982
8,John Cougar,Hurts So Good,1982
9,Steve Miller Band,Abracadabra,1982
10,Chicago,Hard To Say I’m Sorry,1982
1,Police,Every Breath You Take,1983
2,Michael Jackson,Billie Jean,1983
3,Irene Cara,Flashdance… What A Feeling,1983
4,Men At Work,Down Under,1983
5,Michael Jackson,Beat It,1983
6,Bonnie Tyler,Total Eclipse Of The Heart,1983
7,Daryl Hall and John Oates,Maneater,1983
8,Patti Austin and James Ingram,Baby Come To Me,1983
9,Michael Sembello,Maniac,1983
10,Eurythmics,Sweet Dreams (Are Made Of This),1983
1,Prince,When Doves Cry,1984
2,Tina Turner,What’s Love Got To Do With It,1984
3,Paul McCartney and Michael Jackson,Say Say Say,1984
4,Kenny Loggins,Footloose,1984
5,Phil Collins,Against All Odds (Take A Look At Me Now),1984
6,Van Halen,Jump,1984
7,Lionel Richie,Hello,1984
8,Yes,Owner Of A Lonely Heart,1984
9,Ray Parker Jr.,Ghostbusters,1984
10,Culture Club,Karma Chameleon,1984
1,Wham!,Careless Whisper,1985
2,Madonna,Like A Virgin,1985
3,Wham!,Wake Me Up Before You Go-Go,1985
4,Foreigner,I Want To Know What Love Is,1985
5,Chaka Khan,I Feel For You,1985
6,Daryl Hall and John Oates,Out Of Touch,1985
7,Tears For Fears,Everybody Wants To Rule The World,1985
8,Dire Straits,Money For Nothing,1985
9,Madonna,Crazy For You,1985
10,A-Ha,Take On Me,1985
1,Dionne and Friends,That’s What Friends Are For,1986
2,Lionel Richie,"Say You, Say Me",1986
3,Klymaxx,I Miss You,1986
4,Patti Labelle and Michael McDonald,On My Own,1986
5,Mr. Mister,Broken Wings,1986
6,Whitney Houston,How Will I Know,1986
7,Eddie Murphy,Party All The Time,1986
8,Survivor,Burning Heart,1986
9,Mr. Mister,Kyrie,1986
10,Robert Palmer,Addicted To Love,1986
1,Bangles,Walk Like An Egyptian,1987
2,Heart,Alone,1987
3,Gregory Abbott,Shake You Down,1987
4,Whitney Houston,I Wanna Dance With Somebody (Who Loves Me),1987
5,Starship,Nothing’s Gonna Stop Us Now,1987
6,Robbie Nevil,C’est La Vie,1987
7,Whitesnake,Here I Go Again,1987
8,Bruce Hornsby and The Range,The Way It Is,1987
9,Bob Seger,Shakedown,1987
10,Bon Jovi,Livin’ On A Prayer,1987
1,George Michael,Faith,1988
2,INXS,Need You Tonight,1988
3,George Harrison,Got My Mind Set On You,1988
4,Rick Astley,Never Gonna Give You Up,1988
5,Guns N’ Roses,Sweet Child O’ Mine,1988
6,Whitney Houston,So Emotional,1988
7,Belinda Carlisle,Heaven Is A Place On Earth,1988
8,Tiffany,Could’ve Been,1988
9,Breathe,Hands To Heaven,1988
10,Steve Winwood,Roll With It,1988
1,Chicago,Look Away,1989
2,Bobby Brown,My Prerogative,1989
3,Poison,Every Rose Has Its Thorn,1989
4,Paula Abdul,Straight Up,1989
5,Janet Jackson,Miss You Much,1989
6,Paula Abdul,Cold Hearted,1989
7,Bette Midler,Wind Beneath My Wings,1989
8,Milli Vanilli,Girl You Know Its True,1989
9,Will To Power,"Baby, I Love Your Way-Freebird",1989
10,Anita Baker,Giving You The Best That I Got,1989
1,Wilson Phillips,Hold On,1990
2,Roxette,It Must Have Been Love,1990
3,Sinead O’Connor,Nothing Compares 2 U,1990
4,Bell Biv Devoe,Poison,1990
5,Madonna,Vogue,1990
6,Mariah Carey,Vision Of Love,1990
7,Phil Collins,Another Day In Paradise,1990
8,En Vogue,Hold On,1990
9,Billy Idol,Cradle Of Love,1990
10,Jon Bon Jovi,Blaze Of Glory,1990
1,Bryan Adams,(Everything I Do) I Do It For You,1991
2,Color Me Badd,I Wanna Sex You Up,1991
3,C+C Music Factory,Gonna Make You Sweat,1991
4,Paula Abdul,Rush Rush,1991
5,Timmy T,One More Try,1991
6,EMF,Unbelievable,1991
7,Extreme,More Than Words,1991
8,Hi-Five,I Like The Way (The Kissing Game),1991
9,Surface,The First Time,1991
10,Amy Grant,"Baby, Baby",1991
1,Boyz II Men,End Of The Road,1992
2,Sir Mix A-lot,Baby Got Back,1992
3,Kris Kross,Jump,1992
4,Vanessa Williams,Save The Best For Last,1992
5,TLC,Baby-Baby-Baby,1992
6,Eric Clapton,Tears In Heaven,1992
7,En Vogue,My Lovin’ (You’re Never Gonna Get It),1992
8,Red Hot Chili Peppers,Under The Bridge,1992
9,Color Me Badd,All 4 Love,1992
10,Jon Secada,Just Another Day,1992
1,Whitney Houston,I Will Always Love You,1993
2,Tag Team,Whoomp! (There It Is),1993
3,UB40,Can’t Help Falling In Love,1993
4,Janet Jackson,That’s The Way Love Goes,1993
5,Silk,Freak Me,1993
6,SWV,Weak,1993
7,Shai,If I Ever Fall In Love,1993
8,Mariah Carey,Dreamlover,1993
9,Wreckx-N-Effect,Rump Shaker,1993
10,Snow,Informer,1993
1,Ace Of Base,The Sign,1994
2,All-4-One,I Swear,1994
3,Boyz II Men,I’ll Make Love To You,1994
4,Celine Dion,The Power Of Love,1994
5,Mariah Carey,Hero,1994
6,Lisa Loeb and Nine Stories,Stay (I Missed You),1994
7,Toni Braxton,Breathe Again,1994
8,"Bryan Adams, Rod Stewart and Sting",All For Love,1994
9,Ace Of Base,All That She Wants,1994
10,Ace Of Base,Don’t Turn Around,1994
1,Coolio,Gangsta’s Paradise,1995
2,TLC,Waterfalls,1995
3,TLC,Creep,1995
4,Seal,Kiss From A Rose,1995
5,Boyz II Men,On Bended Knee,1995
6,Real McCoy,Another Night,1995
7,Mariah Carey,Fantasy,1995
8,Madonna,Take A Bow,1995
9,Monica,Don’t Take It Personal (Just One Of Dem Days),1995
10,Montell Jordan,This Is How We Do It,1995
1,Los Del Rio,Macarena (Bayside Boys Mix),1996
2,Mariah Carey and Boyz II Men,One Sweet Day,1996
3,Celine Dion,Because You Loved Me,1996
4,Tony Rich Project,Nobody Knows,1996
5,Mariah Carey,Always Be My Baby,1996
6,Tracy Chapman,Give Me One Reason,1996
7,Bone Thugs-N-Harmony,Tha Crossroads,1996
8,Donna Lewis,I Love You Always Forever,1996
9,Toni Braxton,You’re Makin’ Me High / Let It Flow,1996
10,Keith Sweat,Twisted,1996
1,Elton John,Candle In The Wind 1997,1997
2,Jewel,Foolish Games / You Were Meant For Me,1997
3,Puff Daddy and Faith Evans,I’ll Be Missing You,1997
4,Toni Braxton,Un-Break My Heart,1997
5,Puff Daddy,Can’t Nobody Hold Me Down,1997
6,R. Kelly,I Believe I Can Fly,1997
7,En Vogue,Don’t Let Go (Love),1997
8,Mark Morrison,Return Of The Mack,1997
9,LeAnn Rimes,How Do I Live,1997
10,Spice Girls,Wannabe,1997
1,Next,Too Close,1998
2,Brandy and Monica,The Boy Is Mine,1998
3,Shania Twain,You’re Still The One,1998
4,Savage Garden,Truly Madly Deeply,1998
5,LeAnn Rimes,How Do I Live,1998
6,Janet,Together Again,1998
7,K-Ci and JoJo,All My Life,1998
8,Elton John,Candle In The Wind 1997,1998
9,Usher,Nice & Slow,1998
10,Paula Cole,I Don’t Want To Wait,1998
1,Cher,Believe,1999
2,TLC,No Scrubs,1999
3,Monica,Angel Of Mine,1999
4,Whitney Houston,Heartbreak Hotel,1999
5,Britney Spears,…Baby One More Time,1999
6,Sixpence None The Richer,Kiss Me,1999
7,Christina Aguilera,Genie In A Bottle,1999
8,Sugar Ray,Every Morning,1999
9,Deborah Cox,Nobody’s Supposed To Be Here,1999
10,Ricky Martin,Livin’ La Vida Loca,1999
1,Faith Hill,Breathe,2000
2,Santana feat. Rob Thomas,Smooth,2000
3,Santana feat. The Product GandB,Maria Maria,2000
4,Joe,I Wanna Know,2000
5,Vertical Horizon,Everything You Want,2000
6,Destiny’s Child,Say My Name,2000
7,Savage Garden,I Knew I Loved You,2000
8,Lonestar,Amazed,2000
9,matchbox twenty,Bent,2000
10,Toni Braxton,He Wasn’t Man Enough,2000
1,Lifehouse,Hanging By A Moment,2001
2,Alicia Keys,Fallin’,2001
3,Janet,All For You,2001
4,Train,Drops Of Jupiter (Tell Me),2001
5,Jennifer Lopez feat. Ja Rule,I’m Real,2001
6,matchbox twenty,If You’re Gone,2001
7,Eve feat. Gwen Stefani,Let Me Blow Ya Mind,2001
8,Dido,Thank You,2001
9,Lenny Kravitz,Again,2001
10,Destiny’s Child,Independent Women Part I,2001
1,Nickelback,How Your Remind Me,2002
2,Ashanti,Foolish,2002
3,Nelly,Hot in Herre,2002
4,Nelly feat. Kelly Rowland,Dilemma,2002
5,The Calling,Wherever you Will Go,2002
6,Vanessa Carlton,A Thousand Miles,2002
7,Linkin Park,In the End,2002
8,Fat Joe feat. Ashanti,What’s Luv?,2002
9,Usher,U Got it Bad,2002
10,Puddle Of Mudd,Blurry,2002
1,50 Cent,In Da Club,2003
2,R. Kelly,Ignition,2003
3,Sean Paul,Get Busy,2003
4,Beyonce feat. Jay-Z,Crazy in Love,2003
5,3 Doors Down,When I’m Gone,2003
6,matchbox twenty,Unwell,2003
7,Chingy,Right Thurr,2003
8,Aaliyah,Miss You,2003
9,Kid Rock feat. Sheryl Crow,Picture,2003
10,Evanescence feat. Paul McCoy,Bring me to Life,2003
1,Usher feat. Lil Jon and Ludacris,Yeah!,2004
2,Usher,Burn,2004
3,Alicia Keys,If I Ain’t Got You,2004
4,Maroon5,This Love,2004
5,OutKast feat. Sleepy Brown,The Way You Move,2004
6,Hoobastank,The Reason,2004
7,Mario Winans feat. Enya and P. Diddy,I Don’t Wanna Know,2004
8,OutKast,Hey Ya!,2004
9,Ciara feat. Petey Pablo,Goodies,2004
10,Terror Squad,Lean Back,2004
1,Mariah Carey,We Belong Together,2005
2,Gwen Stefani,Hollaback Girl,2005
3,Mario,Let Me Love You,2005
4,Kelly Clarkson,Since U Been Gone,2005
5,Ciara feat. Missy Elliott,"1, 2 Step",2005
6,Kanye West feat. Jamie Foxx,Gold Digger,2005
7,Green Day,Boulevard of Broken Dreams,2005
8,50 Cent feat. Olivia,Candy Shop,2005
9,The Pussycat Dolls feat. Busta Rhymes,Don’t Cha,2005
10,Kelly Clarkson,Behind These Hazel Eyes,2005
1,Daniel Powter,Bad Day,2006
2,Sean Paul,Temperature,2006
3,Nelly Furtado feat. Timbaland,Promiscuous,2006
4,James Blunt,You’re Beautiful,2006
5,Shakira feat. Wyclef Jean,Hips Don’t Lie,2006
6,Natasha Bedingfield,Unwritten,2006
7,Gnarls Barkley,Crazy,2006
8,Chamillionaire feat. Krayzie Bone,Ridin’,2006
9,Justin Timberlake,Sexyback,2006
10,Beyonce feat. Slim Thug,Check on It,2006
1,Beyonce,Irreplaceable,2007
2,Rihanna feat. Jay-Z,Umbrella,2007
3,Gwen Stefani feat. Akon,The Sweet Escape,2007
4,Fergie,Big Girls Don’t Cry,2007
5,T-Pain feat. Yung Joc,Buy U A Drank (Shawty Snappin’),2007
6,Carrie Underwood,Before He Cheats,2007
7,Plain White T’s,Hey There Delilah,2007
8,Akon feat. Snoop Dogg,I Wanna Love You,2007
9,Nelly Furtado,Say It Right,2007
10,Fergie feat. Ludacris,Glamorous,2007
1,Flo Rida feat. T-Pain,Low,2008
2,Leona Lewis,Bleeding Love,2008
3,Alicia Keys,No One,2008
4,Lil Wayne feat. Static Major,Lollipop,2008
5,Timbaland feat. OneRepublic,Apologize,2008
6,Jordin Sparks Duet With Chris Brown,No Air,2008
7,Sara Bareilles,Love Song,2008
8,Usher feat. Young Jeezy,Love In This Club,2008
9,Chris Brown,With You,2008
10,Chris Brown,Forever,2008
1,The Black Eyed Peas,Boom Boom Pow,2009
2,Lady Gaga,Poker Face,2009
3,Lady Gaga feat. Colby O’Donis,Just Dance,2009
4,The Black Eyed Peas,I Gotta Feeling,2009
5,Taylor Swift,Love Story,2009
6,Flo Rida,Right Round,2009
7,Jason Mraz,I’m Yours,2009
8,Beyonce,Single Ladies (Put A Ring On It),2009
9,Kanye West,Heartless,2009
10,The All-American Rejects,Gives You Hell,2009
1,Ke$ha,TiK ToK,2010
2,Lady Antebellum,Need You Now,2010
3,Train,"Hey, Soul Sister",2010
4,Katy Perry feat. Snoop Dogg,California Gurls,2010
5,Usher feat. will.i.am,OMG,2010
6,B.o.B feat. Hayley Williams,Airplanes,2010
7,Eminem feat. Rihanna,Love The Way You Lie,2010
8,Lady Gaga,Bad Romance,2010
9,Taio Cruz,Dynamite,2010
10,Taio Cruz feat. Ludacris,Break Your Heart,2010
1,Adele,Rolling In The Deep,2011
2,LMFAO feat. Lauren Bennett & GoonRock,Party Rock Anthem,2011
3,Katy Perry,Firework,2011
4,Katy Perry feat. Kanye West,E.T.,2011
5,"Pitbull feat. Ne-Yo, Afrojack & Nayer",Give Me Everything,2011
6,Bruno Mars,Grenade,2011
7,Cee Lo Green,F**K You (Forget You),2011
8,Nicki Minaj,Super Bass,2011
9,Maroon 5 feat. Christina Aguilera,Moves Like Jagger,2011
10,The Black Eyed Peas,Just Can’t Get Enough,2011
1,Gotye feat. Kimbra,Somebody That I Used To Know,2012
2,Carly Rae Jepsen,Call Me Maybe,2012
3,fun. feat. Janelle Monae,We Are Young,2012
